seed,horizon,method,n_obs,mse,mae,linex_a1,avg_hhi,best_individual_mse,best_individual_idx
4.0,1.0,Mean,1020.0,1.0065535053603296,0.6891118624843299,0.7071582105390617,0.055555555555555566,1.001357752471105,1.0
4.0,1.0,Median,1020.0,0.9864999609922985,0.6680778701612725,0.7163473239812221,nan,1.001357752471105,1.0
4.0,1.0,OGDVanilla,1020.0,0.9908592059428185,0.6751221472781234,0.7214436113923465,0.06098506149721687,1.001357752471105,1.0
4.0,1.0,MWUMVanilla,1020.0,0.9802127010709306,0.6670321039706605,0.7116548574693563,0.07224691389497243,1.001357752471105,1.0
4.0,1.0,OGDBoth,1020.0,0.9908596400607371,0.6750966931620518,0.7212924566953073,0.060754629363367466,1.001357752471105,1.0
4.0,1.0,OGDConcOnly,1020.0,1.1295659659497514,0.7234973128822916,0.8483323787338135,0.09745958983031631,1.001357752471105,1.0
4.0,1.0,MWUMBothKL,1020.0,0.9802378812153654,0.6670526118963412,0.7118514820301081,0.0717839838640194,1.001357752471105,1.0
4.0,1.0,MWUMConcOnlyKL,1020.0,1.0002096075058253,0.6762814232580344,0.727375830252202,0.05697817315929014,1.001357752471105,1.0
4.0,4.0,Mean,1020.0,4.056342968157746,1.459951779566515,10.841789099790153,0.055555555555555566,3.82424542804566,9.0
4.0,4.0,Median,1020.0,4.035733680146344,1.4267419971592272,10.582700344006598,nan,3.82424542804566,9.0
4.0,4.0,OGDVanilla,1020.0,2.8999946772019993,1.2023289622727875,4.617004570293803,0.26704188159154224,3.82424542804566,9.0
4.0,4.0,MWUMVanilla,1020.0,3.858273601584159,1.387054682091126,11.507621254284784,0.4594400773295023,3.82424542804566,9.0
4.0,4.0,OGDBoth,1020.0,2.8731580010592737,1.2004097063612966,4.690115136375995,0.19835523249276127,3.82424542804566,9.0
4.0,4.0,OGDConcOnly,1020.0,3.2921638257299732,1.293241831512117,8.009940560584065,0.16356026944592997,3.82424542804566,9.0
4.0,4.0,MWUMBothKL,1020.0,2.7763375063297304,1.1779216658539415,4.692319943485012,0.2305932756366068,3.82424542804566,9.0
4.0,4.0,MWUMConcOnlyKL,1020.0,2.6536729088754356,1.139175712589397,4.055079140445096,0.3369141604463496,3.82424542804566,9.0
4.0,8.0,Mean,1020.0,6.395069658592602,1.882626452614361,63.70051845397832,0.055555555555555566,5.187955907456266,9.0
4.0,8.0,Median,1020.0,5.947166099432818,1.770816920370937,56.251078046986436,nan,5.187955907456266,9.0
4.0,8.0,OGDVanilla,1020.0,4.178439965939902,1.4643070792904944,14.56818172470919,0.22596432113729537,5.187955907456266,9.0
4.0,8.0,MWUMVanilla,1020.0,5.267636273216569,1.651457662400551,35.17890956706483,0.9766952655434522,5.187955907456266,9.0
4.0,8.0,OGDBoth,1020.0,4.169675437471599,1.4606564074794781,14.576994515705126,0.1911323139919299,5.187955907456266,9.0
4.0,8.0,OGDConcOnly,1020.0,4.8985905226474316,1.624272817599668,27.430644742547706,0.20688254549755955,5.187955907456266,9.0
4.0,8.0,MWUMBothKL,1020.0,3.7379190482611637,1.3611353903624068,11.078576229347295,0.2921182707690491,5.187955907456266,9.0
4.0,8.0,MWUMConcOnlyKL,1020.0,3.6789840020130917,1.340593670207023,9.883195783019975,0.3532024637957651,5.187955907456266,9.0
5.0,1.0,Mean,1020.0,0.9764259020072102,0.6921041037102512,0.975886648465916,0.055555555555555566,0.9997619158819328,3.0
5.0,1.0,Median,1020.0,0.9597688807815133,0.6783503008545254,0.9332404800595288,nan,0.9997619158819328,3.0
5.0,1.0,OGDVanilla,1020.0,0.9611970591618376,0.6803015545182283,0.9366588917393739,0.060191482857738954,0.9997619158819328,3.0
5.0,1.0,MWUMVanilla,1020.0,0.9564807661311754,0.6757846320404675,0.9374072431954009,0.06625749749655051,0.9997619158819328,3.0
5.0,1.0,OGDBoth,1020.0,0.961262958551085,0.680353922451188,0.9367618368376952,0.06005925499893915,0.9997619158819328,3.0
5.0,1.0,OGDConcOnly,1020.0,1.0797154570650989,0.7286631879804694,1.076766000206927,0.09276000815700988,0.9997619158819328,3.0
5.0,1.0,MWUMBothKL,1020.0,0.9564631826902067,0.6757926039315835,0.9372719724796286,0.06606316147630714,0.9997619158819328,3.0
5.0,1.0,MWUMConcOnlyKL,1020.0,0.974895827472836,0.6872297299217969,0.9535308757248572,0.05704392766670661,0.9997619158819328,3.0
5.0,4.0,Mean,1020.0,3.63245368518103,1.385801732925426,10.733752776544943,0.055555555555555566,3.5759876613453687,0.0
5.0,4.0,Median,1020.0,3.664021809301019,1.3697976276529098,11.428661559974673,nan,3.5759876613453687,0.0
5.0,4.0,OGDVanilla,1020.0,2.728431965863081,1.1778936411781717,7.077754304627479,0.2488396898474588,3.5759876613453687,0.0
5.0,4.0,MWUMVanilla,1020.0,3.5544592130310178,1.3451069800482907,11.641038707780385,0.21977368042716974,3.5759876613453687,0.0
5.0,4.0,OGDBoth,1020.0,2.7177165915597556,1.1750272905516048,6.996081123229732,0.18339969631658293,3.5759876613453687,0.0
5.0,4.0,OGDConcOnly,1020.0,2.7612811583518915,1.197164350815421,6.850284729044646,0.14531407491669496,3.5759876613453687,0.0
5.0,4.0,MWUMBothKL,1020.0,2.64885523505488,1.1405464730833659,7.224823619244814,0.2209902226577262,3.5759876613453687,0.0
5.0,4.0,MWUMConcOnlyKL,1020.0,2.5035350698761034,1.0978484188506092,7.469008593606276,0.3256276533925568,3.5759876613453687,0.0
5.0,8.0,Mean,1020.0,5.253546783988662,1.7248266165367752,18.269856441468935,0.055555555555555566,4.525575569681207,1.0
