avg_excess_objective_vs_best_individual,avg_hhi_mean,avg_lambda_mean,diag_aux_mean,diag_main_mean,horizon,linex_mean,loss_section,mae_mean,method,mse_mean,objective_mean,objective_std
-0.393589865411524,0.2310344665578363,0.6854758690794643,0.38088235294117645,0.7761176470588236,1.0,0.24099876736047599,linex,0.3641567894844025,RLKappaBandit,0.37824160675870827,0.24099876736047599,0.09471919561737635
0.08729306364698312,0.05555555555555557,nan,nan,nan,1.0,0.7218816964189831,linex,0.6329359550677309,Mean,0.8441587840839738,0.7218816964189831,0.15485727866432
0.08901297877602672,0.057968611826636145,nan,nan,nan,1.0,0.7236016115480267,linex,0.6241881360416052,MWUMVanilla,0.8324737303319057,0.7236016115480267,0.14304082734457194
0.09402033716298251,0.05654181728633831,7.885527763770518,nan,nan,1.0,0.7286089699349826,linex,0.6297169015501413,MWUMBothKL,0.8469524461299529,0.7286089699349826,0.15200789887116864
0.09814461309843142,0.0573973894213706,7.754173430472934,nan,nan,1.0,0.7327332458704315,linex,0.6303157181984728,MWUMConcOnlyKL,0.8499678264971579,0.7327332458704315,0.15403882554948045
0.09876848953619917,0.1300508611752804,0.0036254675174399935,nan,nan,1.0,0.7333571223081993,linex,0.6645117041449148,OGDBoth,0.9084577750385296,0.7333571223081993,0.16671339561724602
0.10015349738151332,0.132069102692523,nan,nan,nan,1.0,0.7347421301535134,linex,0.6647572338474386,OGDVanilla,0.9091530778297447,0.7347421301535134,0.16743688807800808
0.10616111741120328,nan,nan,nan,nan,1.0,0.7407497501832032,linex,0.6187708241773296,Median,0.8315503582877248,0.7407497501832032,0.14284633293488136
0.11202499038084125,0.06838189668953687,nan,0.3570261437908497,3.3333333333333335,1.0,0.7466136231528413,linex,0.635456404630682,RLRuleBandit,0.8582994077736558,0.7466136231528413,0.16107457297371006
0.1623076442171315,0.07564683382753105,7.891599860647559,nan,nan,1.0,0.7968962769891315,linex,0.637197905626123,OGDConcOnly,0.8785648196018835,0.7968962769891315,0.15827177043748641
2.9534517890808942,0.5689152271852148,0.296339978908087,nan,1.6554406372022419,1.0,3.588040421852894,linex,0.9136148423789825,RLSimplexBandit,1.821425937219556,3.588040421852894,3.4114756609147054
-3.953494680161582,0.38758816332779017,0.698309785563847,0.33660130718954245,0.673531045751634,4.0,1.6484279457379074,linex,0.6366260705155358,RLKappaBandit,1.2888703323725295,1.6484279457379074,0.9592178609415131
-2.313812606998987,0.2508284818999262,nan,nan,nan,4.0,3.288110018900502,linex,1.1175762747816849,OGDVanilla,2.5936418491735185,3.288110018900502,1.9913657832680118
-2.2996864831358574,0.11133140069389662,3.5801675697262225,nan,nan,4.0,3.302236142763633,linex,1.111771687425758,OGDBoth,2.53186349972978,3.302236142763633,1.9097958023588266
-2.2801002358936118,0.097329320244472,1.8331160225303471,nan,nan,4.0,3.321822390005878,linex,1.1088303824502141,MWUMConcOnlyKL,2.4804874964483,3.321822390005878,1.8684354481348013
-2.1662648805371294,0.09142369553819592,2.4095277634198276,nan,nan,4.0,3.43565774536236,linex,1.1336986311355501,MWUMBothKL,2.5875714850614453,3.43565774536236,1.871182196665552
-2.101408294227399,0.1124646944511366,7.876646937148004,nan,nan,4.0,3.50051433167209,linex,1.0950445438850591,OGDConcOnly,2.4261984583305147,3.50051433167209,2.014804365591323
-0.9159857386073665,0.2154984275679215,nan,0.5119281045751634,2.5,4.0,4.685936887292123,linex,1.1745273827407796,RLRuleBandit,2.817571049492667,4.685936887292123,2.52213630857674
2.2025050584958747,0.9622662745952991,nan,nan,nan,4.0,7.804427684395364,linex,1.3096899002392508,MWUMVanilla,3.3489770669694763,7.804427684395364,5.3439290728962625
3.037492554943851,nan,nan,nan,nan,4.0,8.639415180843338,linex,1.2202794036832716,Median,3.043429660759861,8.639415180843338,5.674852228949346
3.363408603004799,0.7816650763577809,0.296339978908087,nan,2.304097381362966,4.0,8.965331228904288,linex,1.3013158029598255,RLSimplexBandit,3.3958396034619454,8.965331228904288,4.131945620918313
3.5648578053752558,0.05555555555555557,nan,nan,nan,4.0,9.166780431274747,linex,1.2447406193382724,Mean,3.0622844925267234,9.166780431274747,6.816207095331322
-4.459760125900293,0.4406676998701598,0.6497313858009989,0.2568627450980392,0.7504558823529411,8.0,2.7536139938838264,linex,0.7068236203700637,RLKappaBandit,1.6444907784577758,2.7536139938838264,1.964068159261513
-2.24558814943644,0.1481814689451129,0.9537566747800185,nan,nan,8.0,4.96778597034768,linex,1.2151071174400745,MWUMConcOnlyKL,2.962878438898245,4.96778597034768,2.7691757743306353
-2.1391941760771274,0.13444426070918505,1.4544274503401526,nan,nan,8.0,5.0741799437069925,linex,1.2627255037709886,MWUMBothKL,3.1662722681171958,5.0741799437069925,2.957901902726527
-2.0685099099548534,0.16913520502028623,1.3749641501057301,nan,nan,8.0,5.144864209829266,linex,1.2430766649275649,OGDBoth,3.1400916351621753,5.144864209829266,2.8464549600399436
-1.8323014046339055,0.26890096924761026,nan,nan,nan,8.0,5.381072715150214,linex,1.2870428998662464,OGDVanilla,3.387047589237618,5.381072715150214,2.8306293736068784
-1.2679299959659596,0.13874710066103266,7.889524874855005,nan,nan,8.0,5.9454441238181595,linex,1.2903261442816325,OGDConcOnly,3.2298115321022194,5.9454441238181595,3.266348228149586
0.8572871511292065,0.16889167115464299,nan,0.6524509803921569,3.3333333333333335,8.0,8.070661270913325,linex,1.33827820200219,RLRuleBandit,3.603688266018334,8.070661270913325,4.351830525660027
