avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,linex,loss_section,mae,method,mse,n_obs,objective_value,seed
0.055555555555555566,nan,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.7132853711576317,mse,0.6928655782409527,Mean,1.0133496448900177,1012.0,1.0133496448900177,4.0
nan,nan,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.7225678293181762,mse,0.6739064353600833,Median,0.9946281223269275,1012.0,0.9946281223269275,4.0
0.06069479842047208,nan,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.7276325168796768,mse,0.6791073210457033,OGDVanilla,0.9980905842931416,1012.0,0.9980905842931416,4.0
0.06816491249011833,nan,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.7172663086557611,mse,0.671271407938496,MWUMVanilla,0.9876780492166676,1012.0,0.9876780492166676,4.0
0.06037407926026691,0.09681549518983543,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.727431235484761,mse,0.6790414507111697,OGDBoth,0.9981258888646569,1012.0,0.9981258888646569,4.0
0.057749369101534026,5.339280212324355,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.7189880088514858,mse,0.6828864458122695,OGDConcOnly,1.0031803613003079,1012.0,1.0031803613003079,4.0
0.06732573196818184,0.024307496817602064,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.718174889620572,mse,0.6712180573484496,MWUMBothKL,0.9877894047253786,1012.0,0.9877894047253786,4.0
0.056293051863015156,5.258008866061151,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,,,1.0,0.7290939208568239,mse,0.6817319180535686,MWUMConcOnlyKL,1.0061242508297146,1012.0,1.0061242508297146,4.0
0.06129373264783672,nan,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,0.4189723320158103,5.0,1.0,0.7194078691329606,mse,0.6749040193973878,RLRuleBandit,0.9943060387401798,1012.0,0.9943060387401798,4.0
0.20951777232901028,1.9502907060150731,1.0,0.7761690099364306,1.0205724499997633,1.0205724499997633,0.7154150197628458,2.727974308300395,1.0,0.7911404905029383,mse,0.695126201675371,RLKappaBandit,1.057626700639351,1012.0,1.057626700639351,4.0
0.055555555555555566,nan,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,10.924631258930114,mse,1.4631843840985257,Mean,4.070734592383734,1012.0,4.070734592383734,4.0
nan,nan,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,10.424516468412005,mse,1.4288823917842326,Median,4.047641172245848,1012.0,4.047641172245848,4.0
0.24791351773145323,nan,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,4.555656132033953,mse,1.2207571142123341,OGDVanilla,2.9334302682138578,1012.0,2.9334302682138578,4.0
0.4585631593468486,nan,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,12.32961039755206,mse,1.3960244931939123,MWUMVanilla,3.9021885700732586,1012.0,3.9021885700732586,4.0
0.1652494668255973,1.7781851204839836,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,4.709188181984177,mse,1.2105036269218417,OGDBoth,2.9152523229606175,1012.0,2.9152523229606175,4.0
0.09632247719915472,1.8041460088426553,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,5.438128172917394,mse,1.2560047045154792,OGDConcOnly,3.098556809939687,1012.0,3.098556809939687,4.0
0.20423311715914164,0.744546211145758,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,4.435929016686811,mse,1.176800663515021,MWUMBothKL,2.77045990380846,1012.0,2.77045990380846,4.0
0.3052798598745697,0.1728918129979378,9.0,12.40913518211939,3.906834282539937,3.906834282539937,,,4.0,4.0604707010720285,mse,1.1441192105422606,MWUMConcOnlyKL,2.687806606823563,1012.0,2.687806606823563,4.0
0.14434730523255598,nan,9.0,12.40913518211939,3.906834282539937,3.906834282539937,0.4654150197628458,3.0,4.0,7.110584436557611,mse,1.2727715908157213,RLRuleBandit,3.2738487499497353,1012.0,3.2738487499497353,4.0
0.6566592464748207,0.12495147381704674,9.0,12.40913518211939,3.906834282539937,3.906834282539937,0.10474308300395258,0.20132411067193676,4.0,4.091982814578541,mse,1.173103719337632,RLKappaBandit,2.774781302177725,1012.0,2.774781302177725,4.0
0.055555555555555566,nan,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,61.61667260308507,mse,1.8941329444660526,Mean,6.4384398707499475,1012.0,6.4384398707499475,4.0
nan,nan,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,59.60559636624062,mse,1.7708611048206488,Median,5.965711654451628,1012.0,5.965711654451628,4.0
0.21699009266863578,nan,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,15.429045735781427,mse,1.4744869847644198,OGDVanilla,4.1975530513633785,1012.0,4.1975530513633785,4.0
0.9711132073435406,nan,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,25.025076213782246,mse,1.6620208703938213,MWUMVanilla,5.347224009047915,1012.0,5.347224009047915,4.0
0.21231905793948588,0.10942248980999324,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,15.453183837999315,mse,1.4708771428747385,OGDBoth,4.180919902217689,1012.0,4.180919902217689,4.0
0.11087830329040509,1.9485499650267937,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,15.458732415167162,mse,1.5426199452642677,OGDConcOnly,4.461461788496501,1012.0,4.461461788496501,4.0
0.2756407381328129,0.7091701368567613,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,16.580547086762603,mse,1.36585357959686,MWUMBothKL,3.7182227565413846,1012.0,3.7182227565413846,4.0
0.36707488187491144,0.17328411957606357,9.0,43.96396713275028,5.210384317095147,5.210384317095147,,,8.0,17.515397989268596,mse,1.3341518723690167,MWUMConcOnlyKL,3.667292500655238,1012.0,3.667292500655238,4.0
0.20746657104602845,nan,9.0,43.96396713275028,5.210384317095147,5.210384317095147,0.5820158102766798,1.0,8.0,29.631011463669708,mse,1.5221510572586225,RLRuleBandit,4.590795536575082,1012.0,4.590795536575082,4.0
