avg_excess_objective_vs_best_individual,avg_hhi_mean,avg_improvement_pct_vs_best_individual,avg_lambda_mean,horizon,linex_mean,loss_section,mae_mean,method,mse_mean,n_series,objective_mean,objective_std
nan,0.8552019662071451,-1.3558480916309583e+277,0.41127214530515915,0.0,inf,linex,301.52416194719706,MWUMBothKL,467274.2072345668,301.0,inf,nan
nan,0.8487088525427788,-3.153913080566767e+272,0.41127214530515915,0.0,inf,linex,264.0355859617458,MWUMConcOnlyKL,444475.889448567,301.0,inf,nan
nan,0.8619633024465349,-1.3558480916309583e+277,nan,0.0,inf,linex,306.55969830335897,MWUMVanilla,468880.57949475764,301.0,inf,nan
nan,0.04166666666666665,-1.3027412866177413e+294,nan,0.0,inf,linex,421.93689780207956,Mean,696627.1690572645,301.0,inf,nan
nan,nan,-1.136535230653437e+279,nan,0.0,inf,linex,428.2053529900332,Median,683249.3354772817,301.0,inf,nan
nan,0.2964030755619279,-4.638147004470856e+283,0.41127214530515915,0.0,inf,linex,412.2097361356946,OGDBoth,795832.9542044441,301.0,inf,nan
nan,0.2966574661107228,-4.638147004470856e+283,0.41127214530515915,0.0,inf,linex,411.84582681710197,OGDConcOnly,795476.8168943343,301.0,inf,nan
nan,0.29699975645919097,-4.638147004470856e+283,nan,0.0,inf,linex,412.21983956838,OGDVanilla,795780.4285123753,301.0,inf,nan
nan,0.8762214733856557,-1.9893578998145498e+252,0.8824555035129125,0.0,inf,linex,264.20106492084903,RLKappaBandit,444570.03454305587,301.0,inf,nan
nan,0.3617235261506216,-2.637015879865855e+287,nan,0.0,inf,linex,365.4154561307226,RLRuleBandit,632887.130553276,301.0,inf,nan
119705.93485999617,0.8884202653684986,-19.915071645583836,0.41127214530515915,0.0,inf,mse,270.8005370208811,MWUMBothKL,478429.1498962826,301.0,478429.1498962826,2505969.9506724165
119308.31280014703,0.8888138173195899,-21.743622843304532,0.41127214530515915,0.0,inf,mse,270.36997228002826,MWUMConcOnlyKL,478031.5278364335,301.0,478031.5278364335,2505678.246819192
119713.28532057765,0.8899697587737254,-19.65629042881549,nan,0.0,inf,mse,270.8088403964749,MWUMVanilla,478436.5003568641,301.0,478436.5003568641,2505968.537188051
337903.9540209782,0.04166666666666665,-926.567039038274,nan,0.0,inf,mse,421.93689780207956,Mean,696627.1690572645,301.0,696627.1690572645,2550020.227954126
324526.1204409954,nan,-463.6376541002503,nan,0.0,inf,mse,428.2053529900332,Median,683249.3354772817,301.0,683249.3354772817,2445133.7305391487
680247.7156162251,0.8928695327665437,-1381.6952087022478,0.41127214530515915,0.0,inf,mse,430.51148477599054,OGDBoth,1038970.9306525114,301.0,1038970.9306525114,5042243.92242914
680266.946790611,0.8931840275806512,-1381.7989086967225,0.41127214530515915,0.0,inf,mse,430.55495627830317,OGDConcOnly,1038990.1618268975,301.0,1038990.1618268975,5042240.169881279
680248.115381281,0.892998091965096,-1381.7001589968177,nan,0.0,inf,mse,430.5125358944618,OGDVanilla,1038971.3304175675,301.0,1038971.3304175675,5042243.8426568005
119290.6404584726,0.8978973731658316,-21.760682309130665,0.8921591224734582,0.0,inf,mse,270.3568491660279,RLKappaBandit,478013.855494759,301.0,478013.855494759,2505680.170322715
265716.36848749424,0.5031985407521831,-367.04768501909444,nan,0.0,inf,mse,353.5306859483823,RLRuleBandit,624439.5835237806,301.0,624439.5835237806,2737229.7933880985
