avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,linex,loss_section,mae,method,mse,n_forecasters,n_obs,objective_value,series_id
0.04166666666666666,nan,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,1.4010627557386366e+131,mse,106.35618055555616,Mean,16033.455913319973,24.0,18.0,16033.455913319973,M809
nan,nan,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,7.83606142495205e+128,mse,71.60833333333352,Median,9157.638252777819,24.0,18.0,9157.638252777819,M809
0.7800925925925927,nan,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,1.5715569186918194e+177,mse,129.26837962962978,OGDVanilla,35247.18923244611,24.0,18.0,35247.18923244611,M809
0.9247192051142932,nan,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,8.503162887947094e+108,mse,47.78337579925402,MWUMVanilla,5131.658899938865,24.0,18.0,5131.658899938865,M809
0.7800925925925927,0.32368534065138876,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,1.5715569186918194e+177,mse,129.26837962962978,OGDBoth,35247.18923244611,24.0,18.0,35247.18923244611,M809
0.7800925925925927,0.32368534065138876,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,1.5715569186918194e+177,mse,129.26837962962978,OGDConcOnly,35247.18923244611,24.0,18.0,35247.18923244611,M809
0.9239353606629886,0.32368534065138876,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,8.503162887947094e+108,mse,49.11896809213542,MWUMBothKL,5319.796728887975,24.0,18.0,5319.796728887975,M809
0.8908743271705251,0.32368534065138876,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,,,0.0,6.676099098651936e+101,mse,44.025867952362354,MWUMConcOnlyKL,4503.0466871476765,24.0,18.0,4503.0466871476765,M809
0.5060098913977072,nan,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,0.4444444444444444,6.0,0.0,1.4010627557386366e+131,mse,67.32876831489855,RLRuleBandit,10800.752322140394,24.0,18.0,10800.752322140394,M809
0.888084867783935,0.6466450732356621,6.0,6.676099098651936e+101,4541.737522222237,4541.737522222237,0.5,1.8761111111111108,0.0,6.676099098651936e+101,mse,44.0186203999718,RLKappaBandit,4502.100397837523,24.0,18.0,4502.100397837523,M809
0.04166666666666666,nan,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,1.388791824715616e+205,mse,69.84027777777783,Mean,16896.84854845681,24.0,18.0,16896.84854845681,M810
nan,nan,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,5.870997494369735e+201,mse,64.583888888889,Median,16484.437175000006,24.0,18.0,16484.437175000006,M810
0.6967592592592593,nan,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,8.859148417143956e+243,mse,178.81379629629632,OGDVanilla,56026.44819089511,24.0,18.0,56026.44819089511,M810
0.8416338150625481,nan,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,1.519103261553297e+194,mse,62.831494349813966,MWUMVanilla,15651.888624337644,24.0,18.0,15651.888624337644,M810
0.6967592592592593,0.33299813831128494,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,8.859148417143956e+243,mse,178.81379629629632,OGDBoth,56026.44819089511,24.0,18.0,56026.44819089511,M810
0.6967592592592593,0.33299813831128494,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,8.859148417143956e+243,mse,178.81379629629632,OGDConcOnly,56026.44819089511,24.0,18.0,56026.44819089511,M810
0.8388767830851788,0.33299813831128494,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,1.5191032615408627e+194,mse,62.833769050642786,MWUMBothKL,15651.81002665985,24.0,18.0,15651.81002665985,M810
0.8633139643151827,0.33299813831128494,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,,,0.0,4.810039494078851e+193,mse,61.883495533945535,MWUMConcOnlyKL,15393.077097646375,24.0,18.0,15393.077097646375,M810
0.2143321821722498,nan,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,0.4444444444444444,0.0,0.0,1.388791824715616e+205,mse,70.86241938760587,RLRuleBandit,16917.565946936706,24.0,18.0,16917.565946936706,M810
0.8558524014326825,0.43590956250118323,6.0,1.519103261553297e+194,15810.580377777786,15810.580377777786,0.3333333333333333,1.3122222222222222,0.0,4.810039490915938e+193,mse,61.78893862770206,RLKappaBandit,15390.346952410204,24.0,18.0,15390.346952410204,M810
0.04166666666666666,nan,4.0,inf,36761.54282777775,36761.54282777775,,,0.0,inf,mse,123.82215277777783,Mean,44589.42960207375,24.0,18.0,44589.42960207375,M811
nan,nan,4.0,inf,36761.54282777775,36761.54282777775,,,0.0,inf,mse,124.45083333333322,Median,44923.26845138883,24.0,18.0,44923.26845138883,M811
0.9467592592592593,nan,4.0,inf,36761.54282777775,36761.54282777775,,,0.0,inf,mse,220.20449074074082,OGDVanilla,93543.31324911275,24.0,18.0,93543.31324911275,M811
0.9459634381347782,nan,4.0,inf,36761.54282777775,36761.54282777775,,,0.0,inf,mse,94.21057769063388,MWUMVanilla,38741.18978127786,24.0,18.0,38741.18978127786,M811
0.9467592592592593,0.3948377153632557,4.0,inf,36761.54282777775,36761.54282777775,,,0.0,inf,mse,220.20449074074082,OGDBoth,93543.31324911275,24.0,18.0,93543.31324911275,M811
