avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,linex,loss_section,mae,method,mse,n_obs,objective_value,seed
0.056680108671614306,5.068248443516829,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.6926925947602505,linex,0.6773058214526168,MWUMBothKL,0.9881134867824956,1004.0,0.6926925947602505,4.0
0.05845262983267452,5.297580307234379,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.6784323318579287,linex,0.6777500813950958,MWUMConcOnlyKL,0.9961008886696224,1004.0,0.6784323318579287,4.0
0.059525354453814315,nan,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.6906627668187496,linex,0.673126413077493,MWUMVanilla,0.9819115280722492,1004.0,0.6906627668187496,4.0
0.05555555555555557,nan,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.6974615631238599,linex,0.6879592675247407,Mean,1.003155023073057,1004.0,0.6974615631238599,4.0
nan,nan,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.701505943089471,linex,0.6688927257204412,Median,0.9813932404138485,1004.0,0.701505943089471,4.0
0.14121307084642115,0.0016804890056131819,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.6959757965585844,linex,0.722271751793871,OGDBoth,1.0504557233974512,1004.0,0.6959757965585844,4.0
0.09212540015861476,5.391468768627198,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.7330308500180697,linex,0.6994696755678509,OGDConcOnly,1.0580088872556361,1004.0,0.7330308500180697,4.0
0.1417967826609909,nan,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,nan,nan,1.0,0.6961057613713851,linex,0.7224504832712849,OGDVanilla,1.0507485869087443,1004.0,0.6961057613713851,4.0
0.24857585722665868,1.1255184161850376,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,0.4850597609561753,1.581643426294821,1.0,0.735453719071638,linex,0.6935820363130946,RLKappaBandit,1.0421842329619806,1004.0,0.735453719071638,4.0
0.06525403915889126,nan,11.0,0.6584003883623362,1.1027005304680981,0.6584003883623362,0.37749003984063745,2.0,1.0,0.7157119676716827,linex,0.687281458148339,RLRuleBandit,1.0206801653285162,1004.0,0.7157119676716827,4.0
0.05778828422655872,5.076660425782077,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.9430336616830405,linex,0.6804264629061931,MWUMBothKL,0.9618482890199849,1004.0,0.9430336616830405,5.0
0.05881367077193193,5.306372921185815,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.9636028701852659,linex,0.6901718973375441,MWUMConcOnlyKL,0.9862599590054655,1004.0,0.9636028701852659,5.0
0.05943449273290651,nan,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.9313591604887131,linex,0.6784535482418552,MWUMVanilla,0.9589639647215717,1004.0,0.9313591604887131,5.0
0.05555555555555557,nan,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.9838870910583593,linex,0.6899227533818967,Mean,0.9746327854589114,1004.0,0.9838870910583593,5.0
nan,nan,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.9444999977193483,linex,0.6771071298717071,Median,0.9593225242388926,1004.0,0.9444999977193483,5.0
0.13715499849522794,0.0016832765237616823,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.8940339603071947,linex,0.6971424763040543,OGDBoth,0.9926466636371339,1004.0,0.8940339603071947,5.0
0.08537331827079536,5.400417213184963,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,1.0181871558878821,linex,0.6964922534988092,OGDConcOnly,1.011018800867903,1004.0,1.0181871558878821,5.0
0.1374400727625107,nan,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,nan,nan,1.0,0.8940412040839406,linex,0.6971529617433703,OGDVanilla,0.9927161397405255,1004.0,0.8940412040839406,5.0
0.23250983029264297,0.9746609651165578,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,0.5189243027888446,1.4697111553784863,1.0,1.203678706656547,linex,0.7106746282767022,RLKappaBandit,1.0699532489493897,1004.0,1.203678706656547,5.0
0.06358241416385206,nan,9.0,0.8366144826942776,1.0375441678419912,0.8366144826942776,0.28386454183266935,2.0,1.0,0.9907003744545959,linex,0.6873696834429428,RLRuleBandit,0.9777965365663973,1004.0,0.9907003744545959,5.0
0.05590576206413043,4.849658757128845,1.0,0.7196517418715671,0.9229735202276879,0.7196517418715671,nan,nan,1.0,0.8107800240252192,linex,0.6361804526004612,MWUMBothKL,0.8556477019153038,1004.0,0.8107800240252192,6.0
0.05950756578365168,5.06909971067923,1.0,0.7196517418715671,0.9229735202276879,0.7196517418715671,nan,nan,1.0,0.8423352785696027,linex,0.6386971985061031,MWUMConcOnlyKL,0.8761022234750124,1004.0,0.8423352785696027,6.0
0.05705792685642279,nan,1.0,0.7196517418715671,0.9229735202276879,0.7196517418715671,nan,nan,1.0,0.8243860330043035,linex,0.6332229466452014,MWUMVanilla,0.85224061839543,1004.0,0.8243860330043035,6.0
0.05555555555555557,nan,1.0,0.7196517418715671,0.9229735202276879,0.7196517418715671,nan,nan,1.0,0.7943295238599732,linex,0.6414436158114998,Mean,0.8612094498353462,1004.0,0.7943295238599732,6.0
