avg_excess_objective_vs_best_individual,avg_hhi_mean,avg_improvement_pct_vs_best_individual,avg_lambda_mean,diag_aux_mean,diag_main_mean,horizon,linex_mean,loss_section,mae_mean,method,mse_mean,objective_mean,objective_std
0.07650474818659139,0.056289560667142906,-11.636390609609778,5.01874316819612,nan,nan,1.0,0.7182839049478007,linex,0.6247997521396546,MWUMBothKL,0.8337729822036776,0.7182839049478007,0.1504432939818042
0.07940528306371404,0.05555555555555557,-11.856421442041153,nan,nan,nan,1.0,0.7211844398249235,linex,0.6303253966954684,Mean,0.8412023260202375,0.7211844398249235,0.15996253976223435
0.0800814833215939,0.05787642706265242,-12.299310570452457,nan,nan,nan,1.0,0.7218606400828033,linex,0.6216076715185258,MWUMVanilla,0.8291562537331142,0.7218606400828033,0.14816932093409962
0.08818347529488539,0.0569417093923251,-13.385596461368303,5.204554802765596,nan,nan,1.0,0.7299626320560947,linex,0.6285305029406495,MWUMConcOnlyKL,0.8469674891317943,0.7299626320560947,0.15817149523719953
0.09309409114065088,0.06584922373120368,-13.873803579536116,nan,0.3160690571049137,1.5,1.0,0.7348732479018603,linex,0.6368121159558845,RLRuleBandit,0.8598035838300456,0.7348732479018603,0.16366266583687472
0.0942038421387489,0.12972484566070913,-13.895892419573014,0.0016640842095672944,nan,nan,1.0,0.7359829988999582,linex,0.6630097519157001,OGDBoth,0.9077864748458003,0.7359829988999582,0.17323884020906188
0.09430824121165345,0.13006573768946603,-13.91169760411684,nan,nan,nan,1.0,0.7360873979728627,linex,0.66306998264856,OGDVanilla,0.9079143039604766,0.7360873979728627,0.17328389550492024
0.09733981766618938,0.05859914882827217,-14.86688080044079,5.284999926665134,nan,nan,1.0,0.7391189744273987,linex,0.6292476052523512,OGDConcOnly,0.8488936186974877,0.7391189744273987,0.16005500493475963
0.10236667532209355,nan,-15.90061365809756,nan,nan,nan,1.0,0.7441458320833029,linex,0.617293993759591,Median,0.8292393163358703,0.7441458320833029,0.15033783782641671
0.27482360102332165,0.17879570238481216,-40.75612951906897,1.0651827171809674,0.6148738379814077,1.5676145418326695,1.0,0.9166027577845309,linex,0.6348166145046457,RLKappaBandit,0.8947790252225033,0.9166027577845309,0.2768800004892573
-2.4189786067112338,0.25507605581368237,42.13680040131451,nan,nan,nan,4.0,3.1179884815680747,linex,1.108056704931367,OGDVanilla,2.5539819065059266,3.1179884815680747,1.8015401989354618
-2.3802503367842895,0.11236374173306296,41.505124076924325,3.3629094050115786,nan,nan,4.0,3.156716751495018,linex,1.111382929783499,OGDBoth,2.535331701466127,3.156716751495018,1.7885684072157855
-2.2600200746755803,0.2553221982646158,39.477640324947636,1.273464104170669,0.6565405046480743,1.9484827357237713,4.0,3.2769470136037273,linex,1.0480192878262422,RLKappaBandit,2.2776830222220874,3.2769470136037273,1.8366981013990888
-2.2592325079046325,0.09335573840825351,39.21707574828809,1.0574321822600798,nan,nan,4.0,3.277734580374675,linex,1.1154290331504608,MWUMConcOnlyKL,2.495471283585633,3.277734580374675,1.8536557894936974
-2.209032466419078,0.09312548825685818,38.08034526590769,2.2884776968626164,nan,nan,4.0,3.3279346218602295,linex,1.1314260505718932,MWUMBothKL,2.570424437072037,3.3279346218602295,1.837720791180416
-1.9572248246849353,0.06811599903667344,32.77274424689449,5.216139507575314,nan,nan,4.0,3.579742263594373,linex,1.1604978078271557,OGDConcOnly,2.656098421475345,3.579742263594373,1.8240225976318885
2.896963080412972,nan,-50.826612488480556,nan,nan,nan,4.0,8.43393016869228,linex,1.2146128901865851,Median,3.02663281343235,8.43393016869228,5.686284918012505
3.722598351382519,0.05555555555555557,-65.73549960453114,nan,nan,nan,4.0,9.259565439661827,linex,1.2412510061428288,Mean,3.0531938898004056,9.259565439661827,7.193403419471198
5.558926855240091,0.13668849833266386,-76.90670763470133,nan,0.48555776892430275,3.0,4.0,11.0958939435194,linex,1.2012631144925974,RLRuleBandit,2.9218230521997755,11.0958939435194,8.728185908268069
23.22268673762099,0.9747166670011195,-280.31611493821634,nan,nan,nan,4.0,28.759653825900298,linex,1.3192157778415794,MWUMVanilla,3.368485846314256,28.759653825900298,47.26478128099303
-2.244662898802495,0.12842974526421322,33.85894033351956,0.6373724337426877,nan,nan,8.0,5.043427839559995,linex,1.2373419439617528,MWUMConcOnlyKL,3.0477719865841983,5.043427839559995,3.2412196221462333
-2.1867430233387704,0.1113933823610661,31.480470803300268,2.3391421062575914,nan,nan,8.0,5.10134771502372,linex,1.3016392815328215,MWUMBothKL,3.310335240181073,5.10134771502372,3.0663207565558612
-1.9152724321985506,0.3235444802510944,30.156103948836883,0.9767180456922936,0.6283200531208499,1.427116533864542,8.0,5.372818306163939,linex,1.1903848357249536,RLKappaBandit,2.898980954190115,5.372818306163939,3.590811854336182
-1.5898964181153266,0.08271203395517612,24.636555937277183,3.2382173710056743,nan,nan,8.0,5.698194320247165,linex,1.3305275580891727,OGDConcOnly,3.4231854106887702,5.698194320247165,3.663300947265918
-1.0914020670800868,0.17532012598286661,18.909370407142855,0.9931129416512992,nan,nan,8.0,6.196688671282403,linex,1.3811484581789593,OGDBoth,3.820708354848654,6.196688671282403,4.1121752528943
-0.9454378769065325,0.2312246850342485,17.063187912479425,nan,nan,nan,8.0,6.342652861455959,linex,1.3973855473582981,OGDVanilla,3.8998245553011635,6.342652861455959,4.223462267440269
0.5925927812910307,0.9207049868522192,-10.108805752248921,nan,nan,nan,8.0,7.8806835196535205,linex,1.4613863371635498,MWUMVanilla,4.172569560648543,7.8806835196535205,4.35468968137476
