method,eta,kappa,state_smoothing,lambda_min
Mean,,,,
Median,,,,
OGDVanilla,0.0010012274964161989,,,
MWUMVanilla,0.0010160846294460979,,,
OGDBoth,0.0010122097794466852,0.028790048033965083,0.9,1e-06
OGDConcOnly,0.013113294127354883,7.989276174351583,0.9,1e-06
MWUMBothKL,0.0010067877769195383,0.27146823728532077,0.9,1e-06
MWUMConcOnlyKL,0.0065528483784529174,0.015042740786373427,0.9,1e-06
