avg_excess_objective_vs_best_individual,avg_hhi_mean,avg_improvement_pct_vs_best_individual,avg_lambda_mean,horizon,horizon_name,linex_mean,loss_section,mae_mean,method,mse_mean,n_series,objective_mean,objective_std
0.00016318938573101072,0.08333333333372332,-0.6471512333283965,0.18495479912287524,0.0,CPI1,0.025379765871524455,linex,0.36883342654304885,MWUMBothKL,0.20297370053231048,1.0,0.025379765871524455,0.0
0.00016318956702234683,0.08333335690377863,-0.6471519522655458,0.010249757222879853,0.0,CPI1,0.02537976605281579,linex,0.36883303399606326,MWUMConcOnlyKL,0.20297371040919407,1.0,0.02537976605281579,0.0
0.00016318938819351314,0.08333333333373227,-0.6471512430938079,nan,0.0,CPI1,0.025379765873986958,linex,0.36883342655734713,MWUMVanilla,0.20297370055867325,1.0,0.025379765873986958,0.0
0.00016318916884891163,0.08333333333333336,-0.6471503732509026,nan,0.0,CPI1,0.025379765654642356,linex,0.3688334254118249,Mean,0.20297369812317953,1.0,0.025379765654642356,0.0
0.00019716562472532964,nan,-0.7818889484716893,nan,0.0,CPI1,0.025413742110518774,linex,0.3689768077647662,Median,0.20315453205954592,1.0,0.025413742110518774,0.0
0.0001631919160840871,0.08333333339986435,-0.6471612678113796,0.01961592369810971,0.0,CPI1,0.02537976840187753,linex,0.3688334400335853,OGDBoth,0.20297372855447215,1.0,0.02537976840187753,0.0
0.00016318919647973634,0.0833333333458065,-0.647150482824955,5.443168110320708,0.0,CPI1,0.02537976568227318,linex,0.3688334165202352,OGDConcOnly,0.2029736986030557,1.0,0.02537976568227318,0.0
0.00016319188748300031,0.08333333339849137,-0.647161154389612,nan,0.0,CPI1,0.025379768373276445,linex,0.36883343988506445,OGDVanilla,0.20297372823508364,1.0,0.025379768373276445,0.0
0.0001629831486268732,0.08339272825165116,-0.6463333701095186,1.0896307639254856,0.0,CPI1,0.025379559634420318,linex,0.36882473077545286,RLKappaBandit,0.20297220097278834,1.0,0.025379559634420318,0.0
0.00016320475552702995,0.08333333903501589,-0.6472121844889472,nan,0.0,CPI1,0.025379781241320475,linex,0.3688332956361387,RLRuleBandit,0.20297379674305419,1.0,0.025379781241320475,0.0
0.0011890724240031514,0.08333333334625345,-0.5892779662496397,0.18495479912287524,0.0,CPI1,0.025379766857866054,mse,0.36883343063263274,MWUMBothKL,0.20297371262882913,1.0,0.20297371262882913,0.0
0.0011892225989000027,0.08333469031123447,-0.5893523896035179,0.010249757222879853,0.0,CPI1,0.02537977717247563,mse,0.3688307846654306,MWUMConcOnlyKL,0.20297386280372598,1.0,0.20297386280372598,0.0
0.0011890725845206396,0.08333333334652572,-0.5892780457985529,nan,0.0,CPI1,0.025379766871897417,mse,0.36883343070464014,MWUMVanilla,0.20297371278934662,1.0,0.20297371278934662,0.0
0.0011890579183535532,0.08333333333333336,-0.5892707775708664,nan,0.0,CPI1,0.025379765654642356,mse,0.3688334254118249,Mean,0.20297369812317953,1.0,0.20297369812317953,0.0
0.0013698918547199457,nan,-0.6788880726151438,nan,0.0,CPI1,0.025413742110518774,mse,0.3689768077647662,Median,0.20315453205954592,1.0,0.20315453205954592,0.0
0.0011892417464540173,0.08333333548377828,-0.5893618787073441,0.01961592369810971,0.0,CPI1,0.025379781009152384,mse,0.36883349528225756,OGDBoth,0.20297388195128,1.0,0.20297388195128,0.0
0.0011890633239151627,0.08333333403815824,-0.5892734564475163,5.443168110320708,0.0,CPI1,0.025379766074628544,mse,0.36883336648997006,OGDConcOnly,0.20297370352874114,1.0,0.20297370352874114,0.0
0.0011892398216462874,0.0833333354387131,-0.5893609248152502,nan,0.0,CPI1,0.02537978085023452,mse,0.3688334945870119,OGDVanilla,0.20297388002647226,1.0,0.20297388002647226,0.0
0.0012642339371681521,0.1386189815235302,-0.6265263480336578,1.0675953773041909,0.0,CPI1,0.025390002467372292,mse,0.36894041749152934,RLKappaBandit,0.20304887414199413,1.0,0.20304887414199413,0.0
0.001189328204691864,0.08333358579315725,-0.5894047254957613,nan,0.0,CPI1,0.02537980083554235,mse,0.3688337314213425,RLRuleBandit,0.20297396840951784,1.0,0.20297396840951784,0.0
0.2479905489716951,0.08336827280910467,-86.12765203949719,0.161841606860727,0.0,CPI2,0.535924264914595,linex,1.141716155594997,MWUMBothKL,2.451086307530199,1.0,0.535924264914595,0.0
0.21148879257164577,0.09769208997554471,-73.45051338606906,0.00896899685318813,0.0,CPI2,0.49942250851454567,linex,1.153736514606904,MWUMConcOnlyKL,2.3794870122309533,1.0,0.49942250851454567,0.0
0.24798365695130914,0.08336895450289719,-86.12525842596591,nan,0.0,CPI2,0.535917372894209,linex,1.1417266690531038,MWUMVanilla,2.4510773325617867,1.0,0.535917372894209,0.0
0.2486440109689268,0.08333333333333336,-86.35460079924623,nan,0.0,CPI2,0.5365777269118267,linex,1.1405039667621353,Mean,2.4518438060746175,1.0,0.5365777269118267,0.0
0.22285332487233162,nan,-77.39743994292272,nan,0.0,CPI2,0.5107870408152315,linex,1.1516973491150766,Median,2.3376654079788337,1.0,0.5107870408152315,0.0
0.24389942082095434,0.08350345106366121,-84.70679441699075,0.017164698014767117,0.0,CPI2,0.5318331367638542,linex,1.1375899916532657,OGDBoth,2.4341100524177897,1.0,0.5318331367638542,0.0
0.24738828061009993,0.08335155823818971,-85.91848293971918,4.762949761022231,0.0,CPI2,0.5353219965529998,linex,1.1419913414355458,OGDConcOnly,2.4482208624048565,1.0,0.5353219965529998,0.0
0.24394778958805646,0.08349995161828108,-84.7235929940326,nan,0.0,CPI2,0.5318815055309564,linex,1.1376199233885351,OGDVanilla,2.4342899784814804,1.0,0.5318815055309564,0.0
0.25377052075335754,0.3055374725520608,-88.13504869422195,1.202902043515925,0.0,CPI2,0.5417042366962574,linex,1.2053721947835392,RLKappaBandit,2.5835891494013823,1.0,0.5417042366962574,0.0
0.2499320053556045,0.08346543512239343,-86.80192402516991,nan,0.0,CPI2,0.5378657212985044,linex,1.1434624465797967,RLRuleBandit,2.4583909574978877,1.0,0.5378657212985044,0.0
0.8540197845119561,0.08341373647336287,-53.882822980323425,0.161841606860727,0.0,CPI2,0.5327166334582241,mse,1.139631755732701,MWUMBothKL,2.4389771740381536,1.0,2.4389771740381536,0.0
0.6567223614270323,0.17226967419608252,-41.4347013848335,0.00896899685318813,0.0,CPI2,0.4723994167315932,mse,1.1067570404010896,MWUMConcOnlyKL,2.24167975095323,1.0,2.24167975095323,0.0
0.8538737085789958,0.0834154579191277,-53.87360658536381,nan,0.0,CPI2,0.5326736339836654,mse,1.139618443116066,MWUMVanilla,2.4388310981051933,1.0,2.4388310981051933,0.0
0.86688641654842,0.08333333333333336,-54.69461969621559,nan,0.0,CPI2,0.5365777269118267,mse,1.1405039667621353,Mean,2.4518438060746175,1.0,2.4518438060746175,0.0
0.7527080184526362,nan,-47.490741607738016,nan,0.0,CPI2,0.5107870408152315,mse,1.1516973491150766,Median,2.3376654079788337,1.0,2.3376654079788337,0.0
0.767162972261134,0.08737727662435113,-48.40275059321736,0.017164698014767117,0.0,CPI2,0.5191907586611081,mse,1.1054666828636888,OGDBoth,2.3521203617873314,1.0,2.3521203617873314,0.0
0.8310267647810627,0.08358932807168074,-52.432120274822495,4.762949761022231,0.0,CPI2,0.5261649542853191,mse,1.140947704555185,OGDConcOnly,2.41598415430726,1.0,2.41598415430726,0.0
0.7680140098684818,0.08730321765721515,-48.456445261160596,nan,0.0,CPI2,0.5193412579484066,mse,1.1057955462976605,OGDVanilla,2.3529713993946793,1.0,2.3529713993946793,0.0
1.0744416458387123,0.39844711875785777,-67.78993889292524,1.286432690474507,0.0,CPI2,0.5514598222501562,mse,1.236582205994743,RLKappaBandit,2.6593990353649097,1.0,2.6593990353649097,0.0
0.7831996621510744,0.08691780166721726,-49.414556336129756,nan,0.0,CPI2,0.5018553107077145,mse,1.1411064860736937,RLRuleBandit,2.368157051677272,1.0,2.368157051677272,0.0
0.9164830622641353,0.08364092695523065,-112.19866275431986,0.13519748809430465,0.0,CPI3,1.7333226214583015,linex,1.8724478052383569,MWUMBothKL,6.6104704675113535,1.0,1.7333226214583015,0.0
0.12936046034531745,0.1206260512822187,-15.836703657317353,0.007492578926388884,0.0,CPI3,0.9462000195394836,linex,1.7276555346552278,MWUMConcOnlyKL,5.039143653597769,1.0,0.9462000195394836,0.0
0.9155997203038742,0.08364253455261689,-112.0905213267508,nan,0.0,CPI3,1.7324392794980403,linex,1.8723023620381216,MWUMVanilla,6.609062603767164,1.0,1.7324392794980403,0.0
1.0693539124447657,0.08333333333333336,-130.9135803241106,nan,0.0,CPI3,1.886193471638932,linex,1.9077556354593133,Mean,6.847911525464364,1.0,1.886193471638932,0.0
0.8865281476344402,nan,-108.53149038337757,nan,0.0,CPI3,1.7033677068286064,linex,1.8639607825181363,Median,6.536870316846924,1.0,1.7033677068286064,0.0
0.7070866081490348,0.08423719078135936,-86.56370766942219,0.014339006630836475,0.0,CPI3,1.523926167343201,linex,1.8319794912149574,OGDBoth,6.256188367094694,1.0,1.523926167343201,0.0
0.8324810268662859,0.08364293638194031,-101.91487636660868,3.9788166875700965,0.0,CPI3,1.649320586060452,linex,1.8610401492274706,OGDConcOnly,6.476919059495694,1.0,1.649320586060452,0.0
0.7086436914138243,0.08422824708563789,-86.75433057048805,nan,0.0,CPI3,1.5254832506079905,linex,1.8321676875660533,OGDVanilla,6.258899895906478,1.0,1.5254832506079905,0.0
