avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,horizon_name,linex,loss_section,mae,method,mse,n_forecasters,n_obs,objective_value,origin_end,origin_start,series_id
0.08333333333333336,nan,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.723786587452733e-06,mse,0.05858514499296146,Mean,0.0077822535356681394,12.0,34.0,0.0077822535356681394,2022Q3,2014Q2,CPI1
nan,nan,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.697208807443245e-06,mse,0.059089801855706614,Median,0.007760566741083523,12.0,34.0,0.007760566741083523,2022Q3,2014Q2,CPI1
0.08333366835182389,nan,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.724389593326725e-06,mse,0.05858464732295219,OGDVanilla,0.007782739801972421,12.0,34.0,0.007782739801972421,2022Q3,2014Q2,CPI1
0.08333345743820911,nan,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.72398519807741e-06,mse,0.05858517417132113,MWUMVanilla,0.0077824140221391894,12.0,34.0,0.0077824140221391894,2022Q3,2014Q2,CPI1
0.08333356267305857,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.724219805384848e-06,mse,0.058585064479467895,OGDBoth,0.007782602950943359,12.0,34.0,0.007782602950943359,2022Q3,2014Q2,CPI1
0.08335555885684792,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.725155028603977e-06,mse,0.058590821546118776,OGDConcOnly,0.007783351317933753,12.0,34.0,0.007783351317933753,2022Q3,2014Q2,CPI1
0.08333337007996086,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.723860810446497e-06,mse,0.05858533223011948,MWUMBothKL,0.007782313462837864,12.0,34.0,0.007782313462837864,2022Q3,2014Q2,CPI1
0.08333393586011238,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,,,0.0,CPI1,9.723912309859075e-06,mse,0.058586170961458066,MWUMConcOnlyKL,0.007782354141672946,12.0,34.0,0.007782354141672946,2022Q3,2014Q2,CPI1
0.08333894544011679,nan,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,0.17647058823529413,3.0,0.0,CPI1,9.723134714929451e-06,mse,0.05857392551448863,RLRuleBandit,0.007781732338720072,12.0,34.0,0.007781732338720072,2022Q3,2014Q2,CPI1
0.08341333305302008,1.1161283240564452,11.0,9.346522939582106e-06,0.0074806992339227565,0.0074806992339227565,0.5882352941176471,1.5999999999999999,0.0,CPI1,9.722901921197449e-06,mse,0.05856907787466779,RLKappaBandit,0.007781545713619452,12.0,34.0,0.007781545713619452,2022Q3,2014Q2,CPI1
0.08333333333333336,nan,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723786587452733e-06,linex,0.05858514499296146,Mean,0.0077822535356681394,12.0,34.0,9.723786587452733e-06,2022Q3,2014Q2,CPI1
nan,nan,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.697208807443245e-06,linex,0.059089801855706614,Median,0.007760566741083523,12.0,34.0,9.697208807443245e-06,2022Q3,2014Q2,CPI1
0.08333333333385484,nan,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723787345467298e-06,linex,0.058585144345184734,OGDVanilla,0.007782254146921767,12.0,34.0,9.723787345467298e-06,2022Q3,2014Q2,CPI1
0.08333333333352509,nan,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723786836887192e-06,linex,0.05858514501961031,MWUMVanilla,0.00778225373720948,12.0,34.0,9.723786836887192e-06,2022Q3,2014Q2,CPI1
0.08333333333369042,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723787131638343e-06,linex,0.05858514487485306,OGDBoth,0.007782253974582513,12.0,34.0,9.723787131638343e-06,2022Q3,2014Q2,CPI1
0.08333333336795104,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723788305960422e-06,linex,0.05858515215989694,OGDConcOnly,0.007782254914302167,12.0,34.0,9.723788305960422e-06,2022Q3,2014Q2,CPI1
0.08333333333339044,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723786680587383e-06,linex,0.0585851452237379,MWUMBothKL,0.007782253610903428,12.0,34.0,9.723786680587383e-06,2022Q3,2014Q2,CPI1
0.08333333333428548,0.5582469846574891,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,,,0.0,CPI1,9.723786745790128e-06,linex,0.05858514628898163,MWUMConcOnlyKL,0.007782253662383674,12.0,34.0,9.723786745790128e-06,2022Q3,2014Q2,CPI1
0.08333333334227688,nan,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,0.20588235294117646,4.0,0.0,CPI1,9.72378579309469e-06,linex,0.058585131343933526,RLRuleBandit,0.00778225290061082,12.0,34.0,9.72378579309469e-06,2022Q3,2014Q2,CPI1
