avg_hhi_mean,avg_lambda_mean,linex_mean,loss_section,mae_mean,method,mse_mean,n_rows,objective_mean
0.08333682741513569,0.5324318301858931,0.004768029613301403,linex,1.1152099096708297,MWUMBothKL,3.627435102038857,3.0,0.004768029613301403
0.08336211640218238,0.5324318301858931,0.004721078350032551,linex,1.1106271749588388,MWUMConcOnlyKL,3.5948038994179705,3.0,0.004721078350032551
0.08334351122703894,nan,0.00476682898984784,linex,1.1148672260237056,MWUMVanilla,3.626481649215648,3.0,0.00476682898984784
0.08333333333333336,nan,0.004781688411868437,linex,1.1162636990294594,Mean,3.6368245676434436,3.0,0.004781688411868437
nan,nan,0.004612997127742665,linex,1.1057876369379562,Median,3.5165412621789964,3.0,0.004612997127742665
0.08334354862567424,0.5324318301858931,0.004761083002164845,linex,1.1139518302217488,OGDBoth,3.622387631961294,3.0,0.004761083002164845
0.08374612348047868,0.5324318301858931,0.00452033562249884,linex,1.0886963103053,OGDConcOnly,3.4544810266665222,3.0,0.00452033562249884
0.08335033104152834,nan,0.004765758442027874,linex,1.1136455888982892,OGDVanilla,3.6253761750120517,3.0,0.004765758442027874
0.08561721282892465,1.152161813996268,0.0046146399616138435,linex,1.0917543655492856,RLKappaBandit,3.5166496602378623,3.0,0.0046146399616138435
0.08334167020257882,nan,0.004777170868280599,linex,1.1157611302981894,RLRuleBandit,3.6335807047926796,3.0,0.004777170868280599
0.20889807742896385,0.5324318301858931,0.004318061453275652,mse,1.0449327132287627,MWUMBothKL,3.314214777747953,3.0,3.314214777747953
0.2526896468368305,0.5324318301858931,0.0036573615063206673,mse,1.0346889767728609,MWUMConcOnlyKL,2.848950412904449,3.0,2.848950412904449
0.408525752187552,nan,0.004402861758935665,mse,1.0251678343050343,MWUMVanilla,3.3533774578111015,3.0,3.3533774578111015
0.08333333333333336,nan,0.004781688411868437,mse,1.1162636990294594,Mean,3.6368245676434436,3.0,3.6368245676434436
nan,nan,0.004612997127742665,mse,1.1057876369379562,Median,3.5165412621789964,3.0,3.5165412621789964
0.2103709191967844,0.5324318301858931,0.004299089295160012,mse,1.08710357844895,OGDBoth,3.29168487969752,3.0,3.29168487969752
0.5093191923255144,0.5324318301858931,0.004839760632079935,mse,1.1910284580280937,OGDConcOnly,3.6957938086433817,3.0,3.6957938086433817
0.23247494095297946,nan,0.004272044920426806,mse,1.0869950772362493,OGDVanilla,3.269996956416034,3.0,3.269996956416034
0.404074727768339,1.041645044195804,0.003795263116162857,mse,1.0810102947665774,RLKappaBandit,2.945159328898045,3.0,2.945159328898045
0.16701027265476218,nan,0.007845633266849216,mse,1.2279805003431343,RLRuleBandit,5.524756197313393,3.0,5.524756197313393
