Date,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1968:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.045115231698727
1969:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.982286456027252
1969:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.471056238831152
1969:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.603519837465831
1969:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.279878248002069
1970:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5552449536000035
1970:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71797172118329
1970:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.206266536837333
1970:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.934685671334483
1971:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4097551049786956
1971:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7236834815673747
1971:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0297254536382
1971:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9811624852858154
1972:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.291906843964809
1972:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6057267349632207
1972:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2438575790966873
1972:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.198061104566375
1973:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.444387388343187
1973:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.631724015848574
1973:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.127318745875446
1973:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.509546174978102
1974:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44307440973811
1974:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.149784560223996
1974:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.740097603248522
1974:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.860489754473491
1975:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.827233554076397
1975:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.907074146175505
1975:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.264494921867293
1975:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.577265961552304
1976:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.663232950852936
