avg_excess_objective_vs_best_individual,avg_hhi_mean,avg_improvement_pct_vs_best_individual,avg_lambda_mean,diag_aux_mean,diag_main_mean,horizon,linex_mean,loss_section,mae_mean,method,mse_mean,objective_mean,objective_std
0.2666254863084057,0.05790139905208602,-19.17019560944918,5.0787282288081546,nan,nan,1.0,1.1117661964832726,linex,0.6470742216513331,MWUMBothKL,0.9049405315759167,1.1117661964832726,1.360590211528564
1.0464963491910326,0.0570406725364627,-73.61292716491123,5.266760723064884,nan,nan,1.0,1.8916370593658995,linex,0.6482117690199749,MWUMConcOnlyKL,0.9134793336823218,1.8916370593658995,5.539432033607197
0.2905415848868375,0.06251475263947062,-19.66819114777031,nan,nan,nan,1.0,1.1356822950617045,linex,0.6451691106223818,MWUMVanilla,0.9012852719002009,1.1356822950617045,1.5163949816355693
0.21598638123671982,0.055555555555555566,-18.20412077986798,nan,nan,nan,1.0,1.0611270914115867,linex,0.6521611304009308,Mean,0.9088817438885141,1.0611270914115867,1.1034519144452626
0.2958763417964748,nan,-21.895467466120202,nan,nan,nan,1.0,1.1410170519713418,linex,0.6378162687016642,Median,0.8965570622146952,1.1410170519713418,1.3979195754658384
1.0131658586940016,0.144217741149406,-73.42539085011549,0.0016839617413811406,nan,nan,1.0,1.8583065688688687,linex,0.6781200276588691,OGDBoth,0.9668152601137827,1.8583065688688687,5.545157832018434
0.9741527098455689,0.058600648770034236,-73.87195319728758,5.348167343983264,nan,nan,1.0,1.8192934200204356,linex,0.6494397450495665,OGDConcOnly,0.9160150835238451,1.8192934200204356,5.5105300882032395
1.0129591485553462,0.1445824591141452,-73.41549155122178,nan,nan,nan,1.0,1.8580998587302129,linex,0.67816888859362,OGDVanilla,0.9669143388397942,1.8580998587302129,5.545109814773905
1.2722196401373047,0.19725881971285536,-100.81156701352207,1.2724529186336349,0.5652450980392156,1.8653605392156867,1.0,2.1173603503121714,linex,0.6623165404688637,RLKappaBandit,0.9887734494773355,2.1173603503121714,5.568307366223414
0.9869888458844146,0.06896380981206449,-69.39373882956889,nan,0.3652696078431372,3.1,1.0,1.8321295560592816,linex,0.6525717905945209,RLRuleBandit,0.9157562449623168,1.8321295560592816,5.1086194582219795
-1.2905307373086594,0.09567490722554194,27.104249613975902,2.315830051052166,nan,nan,4.0,5.7968977578814025,linex,1.1490090484283955,MWUMBothKL,2.6533661475878327,5.7968977578814025,8.3994228385559
-1.351055462710928,0.09614933961454133,28.18985083983561,1.0700708218703956,nan,nan,4.0,5.7363730324791335,linex,1.1352452998960494,MWUMConcOnlyKL,2.583911168723335,5.7363730324791335,8.404964948611022
2.68323368545324,0.9738873041543034,-26.305372426684347,nan,nan,nan,4.0,9.770662180643303,linex,1.333770815247863,MWUMVanilla,3.4915248624765796,9.770662180643303,12.028325841639155
27.808131602594692,0.055555555555555566,-270.3425603479302,nan,nan,nan,4.0,34.89556009778475,linex,1.271246662712298,Mean,3.177580707529592,34.89556009778475,135.30491784969314
33.495702489193306,nan,-330.4371480744254,nan,nan,nan,4.0,40.58313098438338,linex,1.2442845201626347,Median,3.1576592101051952,40.58313098438338,170.17044108630068
-1.268670933327396,0.11721036612153368,28.23888993327389,3.4031035926679336,nan,nan,4.0,5.818757561862666,linex,1.1297376584144154,OGDBoth,2.6213706281593274,5.818757561862666,8.822452327222074
-0.9649742991770822,0.06908501310823892,21.820901890913206,5.278483890699927,nan,nan,4.0,6.1224541960129795,linex,1.1843205087529385,OGDConcOnly,2.7555294031358835,6.1224541960129795,8.564621674122773
-0.7831488575746803,0.2703789389068116,27.50983257966926,nan,nan,nan,4.0,6.304279637615382,linex,1.1281663354530378,OGDVanilla,2.6543263745258585,6.304279637615382,11.477384420919122
-1.161147032824266,0.3013267221631672,26.684181992477534,1.0370037733586508,0.5943872549019608,1.530321323529412,4.0,5.926281462365798,linex,1.0641930117616656,RLKappaBandit,2.349702567049885,5.926281462365798,8.986032381597802
25.167081260044938,0.21005866771648352,-235.75526130403887,nan,0.4511764705882353,2.775,4.0,32.25450975523499,linex,1.224546793258461,RLRuleBandit,3.024339503979353,32.25450975523499,131.17703869818493
-16.923934747159326,0.11433778231145268,33.48938461302039,2.3671000121106025,nan,nan,8.0,23.34044229099419,linex,1.3268195240007743,MWUMBothKL,3.564689084671579,23.34044229099419,65.51965981323244
-16.356464546118804,0.13164237882677382,32.024472646669594,0.6449904310025819,nan,nan,8.0,23.907912492034704,linex,1.2634364783592869,MWUMConcOnlyKL,3.2566373579111585,23.907912492034704,66.7330109385056
-5.388976053079935,0.9353434725693329,-15.419361112050547,nan,nan,nan,8.0,34.875400985073576,linex,1.534171657356139,MWUMVanilla,4.720537072636622,34.875400985073576,79.10540841816284
551.383020685995,0.055555555555555566,-1902.6077823024602,nan,nan,nan,8.0,591.6473977241485,linex,1.539056846021452,Mean,4.591270720225182,591.6473977241485,2324.575774547958
676.5897587935699,nan,-606.5124737274012,nan,nan,nan,8.0,716.8541358317234,linex,1.4699428597684379,Median,4.3920069220596645,716.8541358317234,3836.272858030519
-15.67544999401899,0.18623518488179877,28.540870989170024,1.0049828241872056,nan,nan,8.0,24.588927044134522,linex,1.4035645528968927,OGDBoth,4.095658482005031,24.588927044134522,66.24854856632564
-15.487261993309653,0.08623040113434877,29.1828778223477,3.27692121327926,nan,nan,8.0,24.77711504484386,linex,1.357389828130265,OGDConcOnly,3.644512236866073,24.77711504484386,70.09781826121117
